1460596697.177961|M|register internal trackpad|
1460596697.178571|STDEV|67|
1460596697.178734|M|checking|
1460596697.178760|M|checking|
1460596702.636005|M|unregister internal trackpad|
1460596702.640610|M|register internal trackpad|
1460596702.641248|STDEV|67|
1460596702.641432|M|checking|
1460596702.641459|M|checking|
1460596738.565578|M|unregister internal trackpad|
1460596738.569321|M|register internal trackpad|
1460596738.569930|STDEV|67|
1460596738.570125|M|checking|
1460596738.570171|M|checking|
1460601447.869014|WAKE|DIDWAKE|
1460601448.068405|M|unregister internal trackpad|
1460601448.112853|M|register internal trackpad|
1460601448.113694|STDEV|67|
1460601448.127836|M|checking|
1460601448.127960|M|checking|
1460601448.421447|TERMINATE|SHOULDTERMINATE|
1460601449.348141|LIC|closing previous instance of BetterTouchTool relaunch|
1460601449.401072|LAUNCH|DIDLaunch|
1460601450.361513|SIG|result 0|
1460601450.625209|M|register internal trackpad|
1460601450.627418|STDEV|67|
1460601450.632518|M|checking|
1460601450.632918|M|checking|
1460601450.632937|M|checking|
1460601451.194418|M|checking|
1460601451.540137|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(苅宿航太 の MacBook Pro) port(64885)|
1460601452.613338|M|checking|
1460601452.846168|ASW|16b9e54c981844f2|
1460601464.872984|ASW|19e8825a8aac2b7d|
1460601493.517174|ASW|4a14824c5a29c227|
1460601494.131174|M|unregister internal trackpad|
1460601494.137705|M|register internal trackpad|
1460601494.143842|STDEV|67|
1460601494.154671|M|checking|
1460601494.176115|M|checking|
1460601495.139915|ASW|bd2f4f60600c3fd9|
1460601496.656936|ASW|d9dbe5251b3ea3a5|
1460601501.489503|ASW|75b13df0f6072c8d|
1460601614.511229|ASW|30a24d4e77231f74|
1460601618.699253|ASW|75b13df0f6072c8d|
1460601621.066207|ASW|30a24d4e77231f74|
1460601625.061124|G|101|
1460601625.061139|G_A|-1|
1460601625.061156|G_S|59,56,48|
1460601625.795842|ASW|d867ae84449c714e|
1460601627.541540|WISNAP|0 1|
1460601633.113455|ASW|30a24d4e77231f74|
1460601635.779837|G|167|
1460601635.779855|G_A|-1|
1460601635.779862|G_S|55,13|
1460601639.296943|G|167|
1460601639.296968|G_A|-1|
1460601639.296974|G_S|55,13|
1460601640.283063|G|167|
1460601640.283087|G_A|-1|
1460601640.283092|G_S|55,13|
1460601641.853321|G|167|
1460601641.853348|G_A|-1|
1460601641.853357|G_S|55,13|
1460601642.592619|G|167|
1460601642.592651|G_A|-1|
1460601642.592661|G_S|55,13|
